1975-12-01,GBP,0.49455
1975-12-01,CAD,1.01393
1976-01-01,BEF,39.303
1976-01-01,GBP,0.49296
1976-01-01,CAD,1.00648
1976-02-01,BEF,39.134
1976-02-01,GBP,0.49354
1976-02-01,CAD,0.99354
1976-03-01,BEF,39.249
1976-03-01,GBP,0.51494
1976-03-01,CAD,0.98589
1976-04-01,BEF,38.962
1976-04-01,GBP,0.54166
1976-04-01,CAD,0.98360
1976-05-01,BEF,39.193
1976-05-01,GBP,0.55321
1976-05-01,CAD,0.98019
1976-06-01,BEF,39.651
1976-06-01,GBP,0.56697
1976-06-01,CAD,0.97361
1976-07-01,BEF,39.713
1976-07-01,GBP,0.56023
1976-07-01,CAD,0.97223
1976-08-01,BEF,39.014
1976-08-01,GBP,0.56091
1976-08-01,CAD,0.98537
1976-09-01,BEF,38.397
1976-09-01,GBP,0.57928
1976-09-01,CAD,0.97507
1976-10-01,BEF,37.285
1976-10-01,GBP,0.61082
1976-10-01,CAD,0.97271
1976-11-01,BEF,36.973
1976-11-01,GBP,0.61057
1976-11-01,CAD,0.98588
1976-12-01,BEF,36.387
1976-12-01,GBP,0.59585
1976-12-01,CAD,1.01833
1977-01-01,BEF,36.705
1977-01-01,GBP,0.58397
1977-01-01,CAD,1.01029
1977-02-01,BEF,36.881
1977-02-01,GBP,0.58469
1977-02-01,CAD,1.02785
1977-03-01,BEF,36.687
1977-03-01,GBP,0.58227
1977-03-01,CAD,1.05126
1977-04-01,BEF,36.352
1977-04-01,GBP,0.58172
1977-04-01,CAD,1.05150
1977-05-01,BEF,36.102
1977-05-01,GBP,0.58193
1977-05-01,CAD,1.04861
1977-06-01,BEF,36.086
1977-06-01,GBP,0.58169
1977-06-01,CAD,1.05766
1977-07-01,BEF,35.454
1977-07-01,GBP,0.58053
1977-07-01,CAD,1.06124
1977-08-01,BEF,35.578
1977-08-01,GBP,0.57483
1977-08-01,CAD,1.07496
1977-09-01,BEF,35.828
1977-09-01,GBP,0.57366
1977-09-01,CAD,1.07333
1977-10-01,BEF,35.424
1977-10-01,GBP,0.56467
1977-10-01,CAD,1.09890
1977-11-01,BEF,35.218
1977-11-01,GBP,0.55013
1977-11-01,CAD,1.10933
1977-12-01,BEF,33.787
1977-12-01,GBP,0.53934
1977-12-01,CAD,1.09733
1978-01-01,BEF,32.869
1978-01-01,GBP,0.51676
1978-01-01,CAD,1.10123
1978-02-01,BEF,32.339
1978-02-01,GBP,0.51557
1978-02-01,CAD,1.11297
1978-03-01,BEF,31.660
1978-03-01,GBP,0.52490
1978-03-01,CAD,1.12585
1978-04-01,BEF,31.835
1978-04-01,GBP,0.54071
1978-04-01,CAD,1.14169
1978-05-01,BEF,32.830
1978-05-01,GBP,0.55004
1978-05-01,CAD,1.11865
1978-06-01,BEF,32.692
1978-06-01,GBP,0.54432
1978-06-01,CAD,1.12181
1978-07-01,BEF,32.401
1978-07-01,GBP,0.52780
1978-07-01,CAD,1.12460
1978-08-01,BEF,31.418
1978-08-01,GBP,0.51535
1978-08-01,CAD,1.14039
1978-09-01,BEF,31.052
1978-09-01,GBP,0.51035
1978-09-01,CAD,1.16640
1978-10-01,BEF,29.013
1978-10-01,GBP,0.49828
1978-10-01,CAD,1.18281
1978-11-01,BEF,29.959
1978-11-01,GBP,0.51006
1978-11-01,CAD,1.17311
1978-12-01,BEF,29.741
1978-12-01,GBP,0.50361
1978-12-01,CAD,1.17979
1979-01-01,BEF,29.176
1979-01-01,GBP,0.49869
1979-01-01,CAD,1.18989
1979-02-01,BEF,29.280
1979-02-01,GBP,0.49896
1979-02-01,CAD,1.19563
1979-03-01,BEF,29.436
1979-03-01,GBP,0.49074
1979-03-01,CAD,1.17395
1979-04-01,BEF,30.057
1979-04-01,GBP,0.48233
1979-04-01,CAD,1.14637
1979-05-01,BEF,30.553
1979-05-01,GBP,0.48576
1979-05-01,CAD,1.15564
1979-06-01,BEF,30.267
1979-06-01,GBP,0.47364
1979-06-01,CAD,1.17240
1979-07-01,BEF,29.207
1979-07-01,GBP,0.44268
1979-07-01,CAD,1.16388
1979-08-01,BEF,29.291
1979-08-01,GBP,0.44710
1979-08-01,CAD,1.17063
1979-09-01,BEF,28.836
1979-09-01,GBP,0.45539
1979-09-01,CAD,1.16531
1979-10-01,BEF,28.858
1979-10-01,GBP,0.46662
1979-10-01,CAD,1.17535
1979-11-01,BEF,28.720
1979-11-01,GBP,0.46852
1979-11-01,CAD,1.17966
1979-12-01,BEF,28.231
1979-12-01,GBP,0.45443
1979-12-01,CAD,1.16999
1980-01-01,BEF,28.021
1980-01-01,GBP,0.44169
1980-01-01,CAD,1.16400
1980-02-01,BEF,28.393
1980-02-01,GBP,0.43686
1980-02-01,CAD,1.15546
1980-03-01,BEF,29.960
1980-03-01,GBP,0.45368
1980-03-01,CAD,1.17314
1980-04-01,BEF,30.190
1980-04-01,GBP,0.45282
1980-04-01,CAD,1.18610
1980-05-01,BEF,28.772
1980-05-01,GBP,0.43449
1980-05-01,CAD,1.17413
1980-06-01,BEF,28.300
1980-06-01,GBP,0.42808
1980-06-01,CAD,1.15159
1980-07-01,BEF,27.960
1980-07-01,GBP,0.42140
1980-07-01,CAD,1.15234
1980-08-01,BEF,28.671
1980-08-01,GBP,0.42188
1980-08-01,CAD,1.15924
1980-09-01,BEF,28.701
1980-09-01,GBP,0.41646
1980-09-01,CAD,1.16469
1980-10-01,BEF,29.529
1980-10-01,GBP,0.41384
1980-10-01,CAD,1.16906
1980-11-01,BEF,30.812
1980-11-01,GBP,0.41777
1980-11-01,CAD,1.18645
1980-12-01,BEF,31.707
1980-12-01,GBP,0.42631
1980-12-01,CAD,1.19678
1981-01-01,BEF,32.316
1981-01-01,GBP,0.41618
1981-01-01,CAD,1.19085
1981-02-01,BEF,34.521
1981-02-01,GBP,0.43611
1981-02-01,CAD,1.19843
1981-03-01,BEF,34.529
1981-03-01,GBP,0.44812
1981-03-01,CAD,1.19145
1981-04-01,BEF,35.441
1981-04-01,GBP,0.45977
